offering_id,course_id,professor_id,semester,academic_year,classroom
1,78,56,Fall,2026,Room-238
2,71,37,Summer,2024,Room-429
3,85,39,Summer,2024,Room-210
4,68,11,Summer,2025,Room-431
5,85,2,Spring,2024,Room-465
6,16,99,Summer,2024,Room-361
7,25,57,Summer,2024,Room-258
8,78,91,Fall,2026,Room-419
9,75,49,Spring,2024,Room-481
10,83,23,Spring,2024,Room-480
11,78,53,Spring,2025,Room-128
12,70,51,Summer,2026,Room-368
13,59,81,Summer,2026,Room-464
14,71,66,Fall,2026,Room-282
15,49,7,Summer,2026,Room-102
16,82,51,Spring,2024,Room-453
17,86,74,Summer,2024,Room-458
18,1,29,Summer,2024,Room-422
19,70,36,Summer,2025,Room-343
20,66,6,Fall,2025,Room-110
21,5,11,Summer,2025,Room-183
22,97,3,Summer,2025,Room-201
23,60,28,Summer,2024,Room-357
24,62,40,Fall,2026,Room-373
25,21,42,Summer,2025,Room-391
26,47,31,Summer,2025,Room-211
27,11,44,Fall,2026,Room-151
28,4,93,Spring,2024,Room-436
29,5,95,Fall,2026,Room-110
30,3,56,Spring,2024,Room-134
31,57,10,Summer,2025,Room-451
32,29,21,Spring,2025,Room-226
33,5,2,Spring,2025,Room-362
34,72,79,Spring,2025,Room-399
35,38,90,Spring,2024,Room-285
36,60,70,Spring,2025,Room-172
37,98,60,Summer,2024,Room-310
38,98,49,Summer,2026,Room-294
39,79,9,Spring,2024,Room-329
40,8,81,Spring,2026,Room-287
41,39,25,Spring,2026,Room-496
42,8,89,Summer,2025,Room-422
43,27,7,Spring,2026,Room-250
44,86,83,Fall,2026,Room-139
45,19,99,Fall,2026,Room-147
46,100,66,Fall,2026,Room-114
47,68,49,Fall,2024,Room-203
48,68,53,Spring,2026,Room-277
49,47,39,Spring,2024,Room-107
50,39,53,Spring,2025,Room-135
51,22,13,Summer,2024,Room-166
52,69,40,Summer,2026,Room-200
53,44,29,Summer,2025,Room-169
54,41,97,Summer,2026,Room-142
55,96,36,Summer,2025,Room-433
56,46,84,Summer,2026,Room-169
57,53,33,Summer,2026,Room-433
58,42,42,Fall,2024,Room-128
59,77,8,Fall,2024,Room-300
60,34,24,Summer,2026,Room-279
61,18,15,Fall,2024,Room-494
62,92,60,Fall,2026,Room-301
63,83,31,Spring,2025,Room-410
64,10,28,Spring,2024,Room-155
65,1,55,Summer,2026,Room-456
66,35,3,Summer,2025,Room-473
67,46,88,Summer,2026,Room-470
68,90,71,Spring,2024,Room-355
69,81,41,Summer,2024,Room-147
70,9,24,Spring,2026,Room-240
71,58,37,Summer,2025,Room-469
72,74,4,Spring,2025,Room-335
73,53,2,Fall,2025,Room-359
74,14,33,Spring,2025,Room-217
75,87,53,Summer,2026,Room-111
76,39,93,Spring,2026,Room-219
77,77,38,Fall,2024,Room-285
78,78,47,Summer,2025,Room-388
79,89,8,Summer,2025,Room-384
80,38,65,Fall,2025,Room-175
81,57,91,Fall,2026,Room-227
82,62,18,Spring,2025,Room-389
83,5,65,Summer,2024,Room-258
84,90,27,Spring,2024,Room-410
85,11,61,Fall,2025,Room-182
86,19,89,Spring,2025,Room-114
87,78,8,Spring,2025,Room-212
88,30,5,Fall,2026,Room-177
89,74,76,Summer,2026,Room-170
90,11,78,Spring,2024,Room-483
91,55,59,Spring,2025,Room-411
92,39,49,Summer,2026,Room-308
93,77,78,Spring,2024,Room-454
94,11,86,Summer,2026,Room-497
95,78,32,Summer,2025,Room-175
96,5,44,Spring,2025,Room-128
97,98,13,Summer,2024,Room-186
98,18,100,Summer,2026,Room-395
99,1,84,Summer,2026,Room-286
100,19,23,Spring,2025,Room-220
