course_id,department_id,course_code,course_title,credits
1,25,CRS-101,Intro to Advanced Study 1,4
2,86,CRS-102,Intro to Advanced Study 2,3
3,83,CRS-103,Intro to Advanced Study 3,6
4,57,CRS-104,Intro to Advanced Study 4,3
5,52,CRS-105,Intro to Advanced Study 5,6
6,81,CRS-106,Intro to Advanced Study 6,4
7,55,CRS-107,Intro to Advanced Study 7,4
8,86,CRS-108,Intro to Advanced Study 8,3
9,92,CRS-109,Intro to Advanced Study 9,4
10,37,CRS-110,Intro to Advanced Study 10,3
11,62,CRS-111,Intro to Advanced Study 11,6
12,98,CRS-112,Intro to Advanced Study 12,4
13,68,CRS-113,Intro to Advanced Study 13,4
14,74,CRS-114,Intro to Advanced Study 14,4
15,97,CRS-115,Intro to Advanced Study 15,6
16,70,CRS-116,Intro to Advanced Study 16,6
17,66,CRS-117,Intro to Advanced Study 17,3
18,78,CRS-118,Intro to Advanced Study 18,6
19,77,CRS-119,Intro to Advanced Study 19,4
20,49,CRS-120,Intro to Advanced Study 20,4
21,9,CRS-121,Intro to Advanced Study 21,6
22,21,CRS-122,Intro to Advanced Study 22,3
23,14,CRS-123,Intro to Advanced Study 23,3
24,35,CRS-124,Intro to Advanced Study 24,6
25,18,CRS-125,Intro to Advanced Study 25,4
26,85,CRS-126,Intro to Advanced Study 26,4
27,81,CRS-127,Intro to Advanced Study 27,4
28,96,CRS-128,Intro to Advanced Study 28,6
29,18,CRS-129,Intro to Advanced Study 29,3
30,19,CRS-130,Intro to Advanced Study 30,3
31,90,CRS-131,Intro to Advanced Study 31,4
32,23,CRS-132,Intro to Advanced Study 32,3
33,41,CRS-133,Intro to Advanced Study 33,4
34,94,CRS-134,Intro to Advanced Study 34,6
35,24,CRS-135,Intro to Advanced Study 35,3
36,48,CRS-136,Intro to Advanced Study 36,6
37,42,CRS-137,Intro to Advanced Study 37,6
38,46,CRS-138,Intro to Advanced Study 38,4
39,47,CRS-139,Intro to Advanced Study 39,6
40,59,CRS-140,Intro to Advanced Study 40,3
41,54,CRS-141,Intro to Advanced Study 41,6
42,14,CRS-142,Intro to Advanced Study 42,3
43,57,CRS-143,Intro to Advanced Study 43,4
44,74,CRS-144,Intro to Advanced Study 44,3
45,39,CRS-145,Intro to Advanced Study 45,6
46,61,CRS-146,Intro to Advanced Study 46,3
47,27,CRS-147,Intro to Advanced Study 47,3
48,59,CRS-148,Intro to Advanced Study 48,4
49,22,CRS-149,Intro to Advanced Study 49,4
50,38,CRS-150,Intro to Advanced Study 50,4
51,65,CRS-151,Intro to Advanced Study 51,4
52,61,CRS-152,Intro to Advanced Study 52,4
53,81,CRS-153,Intro to Advanced Study 53,3
54,21,CRS-154,Intro to Advanced Study 54,3
55,93,CRS-155,Intro to Advanced Study 55,3
56,24,CRS-156,Intro to Advanced Study 56,3
57,24,CRS-157,Intro to Advanced Study 57,3
58,32,CRS-158,Intro to Advanced Study 58,6
59,43,CRS-159,Intro to Advanced Study 59,4
60,8,CRS-160,Intro to Advanced Study 60,4
61,94,CRS-161,Intro to Advanced Study 61,4
62,70,CRS-162,Intro to Advanced Study 62,4
63,95,CRS-163,Intro to Advanced Study 63,3
64,44,CRS-164,Intro to Advanced Study 64,6
65,66,CRS-165,Intro to Advanced Study 65,6
66,43,CRS-166,Intro to Advanced Study 66,6
67,65,CRS-167,Intro to Advanced Study 67,4
68,98,CRS-168,Intro to Advanced Study 68,6
69,36,CRS-169,Intro to Advanced Study 69,4
70,78,CRS-170,Intro to Advanced Study 70,6
71,48,CRS-171,Intro to Advanced Study 71,3
72,72,CRS-172,Intro to Advanced Study 72,3
73,86,CRS-173,Intro to Advanced Study 73,4
74,38,CRS-174,Intro to Advanced Study 74,3
75,19,CRS-175,Intro to Advanced Study 75,4
76,59,CRS-176,Intro to Advanced Study 76,4
77,33,CRS-177,Intro to Advanced Study 77,4
78,36,CRS-178,Intro to Advanced Study 78,3
79,87,CRS-179,Intro to Advanced Study 79,4
80,23,CRS-180,Intro to Advanced Study 80,6
81,60,CRS-181,Intro to Advanced Study 81,4
82,89,CRS-182,Intro to Advanced Study 82,4
83,48,CRS-183,Intro to Advanced Study 83,3
84,24,CRS-184,Intro to Advanced Study 84,3
85,45,CRS-185,Intro to Advanced Study 85,6
86,98,CRS-186,Intro to Advanced Study 86,3
87,80,CRS-187,Intro to Advanced Study 87,3
88,33,CRS-188,Intro to Advanced Study 88,6
89,99,CRS-189,Intro to Advanced Study 89,3
90,56,CRS-190,Intro to Advanced Study 90,4
91,31,CRS-191,Intro to Advanced Study 91,4
92,68,CRS-192,Intro to Advanced Study 92,3
93,29,CRS-193,Intro to Advanced Study 93,6
94,53,CRS-194,Intro to Advanced Study 94,4
95,78,CRS-195,Intro to Advanced Study 95,6
96,20,CRS-196,Intro to Advanced Study 96,3
97,83,CRS-197,Intro to Advanced Study 97,4
98,23,CRS-198,Intro to Advanced Study 98,4
99,96,CRS-199,Intro to Advanced Study 99,6
100,60,CRS-200,Intro to Advanced Study 100,6
