enrollment_id,offering_id,student_id,grade,enrollment_date
1,46,1035,C+,2025-10-19
2,43,1100,Pass,2025-09-12
3,56,1317,C,2026-02-26
4,24,1335,A-,2025-12-27
5,11,1227,A,2025-08-29
6,5,1073,A,2026-06-04
7,84,1460,A-,2026-03-02
8,19,1191,B-,2025-08-23
9,81,1407,C+,2025-09-17
10,47,1412,C,2026-01-20
11,95,1104,A-,2025-11-12
12,76,1158,B,2025-12-02
13,52,1290,B,2025-08-28
14,85,1480,A,2026-03-21
15,28,1489,A-,2026-03-19
16,79,1251,C+,2026-01-12
17,92,1282,B+,2025-11-13
18,63,1291,B-,2026-06-02
19,75,1440,B+,2025-10-15
20,67,1204,C,2026-03-23
21,26,1196,B,2025-11-02
22,87,1294,C+,2026-02-04
23,84,1327,A,2026-05-01
24,91,1456,B+,2026-02-12
25,91,1411,A,2026-01-07
26,20,1212,A-,2026-03-17
27,14,1301,C+,2025-09-24
28,36,1344,B+,2026-05-28
29,54,1413,B-,2026-02-09
30,2,1144,Pass,2025-10-22
31,36,1032,B+,2026-02-12
32,12,1064,Pass,2026-02-27
33,49,1062,B-,2026-04-25
34,77,1429,B-,2025-11-18
35,2,1196,C,2025-10-27
36,54,1420,B,2025-11-19
37,91,1310,A,2026-01-27
38,25,1387,Pass,2026-02-04
39,97,1285,B-,2025-09-12
40,34,1204,A-,2026-01-23
41,35,1440,A-,2026-05-11
42,80,1455,Pass,2025-12-18
43,83,1423,B-,2025-11-26
44,37,1406,B+,2025-10-24
45,13,1419,Pass,2025-11-21
46,25,1477,B,2025-09-13
47,27,1354,A-,2025-09-27
48,94,1430,A-,2026-03-02
49,68,1161,B,2025-11-08
50,39,1078,A-,2025-10-23
51,36,1053,B-,2026-01-26
52,88,1302,B-,2026-03-15
53,14,1493,A,2025-12-22
54,26,1186,C,2025-11-27
55,59,1159,A-,2025-12-07
56,17,1431,B+,2025-08-17
57,31,1385,B,2026-02-21
58,21,1378,B+,2026-03-18
59,32,1328,B-,2025-12-18
60,1,1157,C,2026-01-26
61,80,1087,B-,2025-09-02
62,40,1052,C+,2025-12-06
63,71,1002,Pass,2026-01-27
64,41,1246,B-,2025-10-31
65,72,1051,C,2025-10-02
66,18,1127,A-,2025-09-11
67,12,1306,C,2025-12-19
68,75,1078,C,2026-03-05
69,84,1239,B,2026-02-27
70,35,1205,B+,2026-03-26
71,85,1007,B-,2025-09-21
72,8,1307,B-,2025-08-28
73,30,1028,B-,2026-03-22
74,45,1203,C,2025-09-29
75,59,1279,Pass,2026-05-24
76,52,1201,A,2026-01-26
77,78,1152,A-,2026-03-09
78,87,1301,B-,2026-01-30
79,48,1175,B+,2025-11-22
80,20,1003,C+,2025-12-19
81,75,1227,A-,2025-10-01
82,32,1436,A,2025-09-28
83,94,1369,Pass,2025-12-17
84,50,1050,B-,2026-01-22
85,65,1202,C+,2026-04-19
86,75,1366,A-,2025-11-05
87,19,1419,A,2026-02-10
88,58,1335,C+,2026-05-25
89,62,1117,Pass,2026-01-07
90,67,1103,A,2026-02-22
91,76,1312,A-,2025-09-01
92,79,1248,B+,2026-04-26
93,38,1308,Pass,2025-10-18
94,29,1017,B-,2026-04-24
95,65,1001,C+,2025-10-18
96,57,1085,B+,2026-03-31
97,23,1061,B-,2026-04-21
98,11,1085,A-,2025-09-02
99,89,1378,C,2026-03-06
100,95,1494,Pass,2025-09-11
