department_id,department_name,faculty,annual_budget,building
1,Computer Science,STEM,4377718,Building-B
2,Electrical Engineering,STEM,1502557,Building-C
3,Mechanical Engineering,STEM,3946095,Building-D
4,Civil Engineering,STEM,4585524,Building-E
5,Mathematics,STEM,1649064,Building-F
6,Physics,STEM,4530790,Building-G
7,Chemistry,STEM,790454,Building-H
8,Biology,STEM,1635070,Building-A
9,Economics,Humanities & Social Sciences,824882,Building-B
10,Business Administration,Humanities & Social Sciences,3722604,Building-C
11,Psychology,Humanities & Social Sciences,2722615,Building-D
12,Sociology,Humanities & Social Sciences,858514,Building-E
13,History,Humanities & Social Sciences,453982,Building-F
14,Philosophy,Humanities & Social Sciences,3855715,Building-G
15,Linguistics,Humanities & Social Sciences,3208459,Building-H
16,Political Science,Humanities & Social Sciences,2771793,Building-A
17,Computer Science Department 2,STEM,1758971,Building-B
18,Electrical Engineering Department 2,STEM,4423704,Building-C
19,Mechanical Engineering Department 2,STEM,415833,Building-D
20,Civil Engineering Department 2,STEM,4538243,Building-E
21,Mathematics Department 2,STEM,2647993,Building-F
22,Physics Department 2,STEM,947433,Building-G
23,Chemistry Department 2,STEM,3375290,Building-H
24,Biology Department 2,STEM,4087802,Building-A
25,Economics Department 2,Humanities & Social Sciences,3413454,Building-B
26,Business Administration Department 2,Humanities & Social Sciences,4755473,Building-C
27,Psychology Department 2,Humanities & Social Sciences,4965060,Building-D
28,Sociology Department 2,Humanities & Social Sciences,4643021,Building-E
29,History Department 2,Humanities & Social Sciences,2033600,Building-F
30,Philosophy Department 2,Humanities & Social Sciences,1110239,Building-G
31,Linguistics Department 2,Humanities & Social Sciences,4726431,Building-H
32,Political Science Department 2,Humanities & Social Sciences,2170930,Building-A
33,Computer Science Department 3,STEM,4927303,Building-B
34,Electrical Engineering Department 3,STEM,4197065,Building-C
35,Mechanical Engineering Department 3,STEM,4276793,Building-D
36,Civil Engineering Department 3,STEM,4420680,Building-E
37,Mathematics Department 3,STEM,3716929,Building-F
38,Physics Department 3,STEM,3920796,Building-G
39,Chemistry Department 3,STEM,288811,Building-H
40,Biology Department 3,STEM,2209989,Building-A
41,Economics Department 3,Humanities & Social Sciences,2526885,Building-B
42,Business Administration Department 3,Humanities & Social Sciences,836382,Building-C
43,Psychology Department 3,Humanities & Social Sciences,4275518,Building-D
44,Sociology Department 3,Humanities & Social Sciences,1145293,Building-E
