order_id,customer_id,product_id,quantity,total_amount,order_date,status
1,74,11,2,754.56,2025-12-29 09:00:00,Pending
2,39,82,1,629.54,2026-02-06 05:00:00,Shipped
3,30,13,2,285.24,2026-04-09 19:00:00,Cancelled
4,70,88,2,229.46,2026-06-03 14:00:00,Shipped
5,56,25,3,2213.64,2026-06-30 18:00:00,Pending
6,63,9,4,2845.88,2025-09-11 04:00:00,Completed
7,58,74,1,385.4,2025-12-13 13:00:00,Cancelled
8,84,36,2,1541.16,2025-06-13 14:00:00,Completed
9,86,88,5,573.65,2025-10-13 21:00:00,Shipped
10,89,7,1,713.08,2025-12-07 03:00:00,Completed
11,6,86,2,269.78,2026-07-01 01:00:00,Shipped
12,51,59,1,231.9,2026-01-22 06:00:00,Cancelled
13,74,100,1,900.27,2025-08-11 02:00:00,Completed
14,77,44,2,810.46,2025-06-14 23:00:00,Pending
15,41,74,5,1927.0,2025-07-12 03:00:00,Completed
16,24,72,2,564.68,2025-08-12 16:00:00,Completed
17,84,75,4,2754.92,2025-08-04 05:00:00,Shipped
18,50,91,2,1364.02,2025-11-27 06:00:00,Shipped
19,95,39,1,720.61,2026-06-08 17:00:00,Shipped
20,7,7,2,1426.16,2025-11-11 11:00:00,Completed
21,88,83,3,2421.75,2026-03-28 21:00:00,Cancelled
22,49,76,5,3622.65,2026-02-04 07:00:00,Pending
23,24,21,4,215.36,2026-03-16 10:00:00,Cancelled
24,73,92,4,3776.72,2026-05-23 14:00:00,Pending
25,95,33,3,1115.76,2026-05-24 18:00:00,Cancelled
26,12,46,1,318.75,2025-10-08 14:00:00,Pending
27,33,86,3,404.67,2025-11-23 11:00:00,Completed
28,22,77,3,275.52,2025-09-28 10:00:00,Completed
29,35,68,3,1361.61,2025-11-04 12:00:00,Cancelled
30,72,17,1,499.05,2026-06-17 04:00:00,Completed
31,14,96,2,870.28,2025-12-16 08:00:00,Completed
32,32,68,3,1361.61,2025-08-14 10:00:00,Cancelled
33,1,61,4,1439.68,2025-10-22 17:00:00,Shipped
34,81,27,2,872.22,2025-10-03 16:00:00,Shipped
35,49,72,4,1129.36,2026-06-05 18:00:00,Shipped
36,67,64,4,1490.16,2026-05-01 19:00:00,Cancelled
37,80,48,5,2606.15,2025-08-27 04:00:00,Completed
38,24,26,3,1878.3,2025-11-11 02:00:00,Shipped
39,98,82,4,2518.16,2025-07-02 22:00:00,Cancelled
40,30,79,5,3267.5,2025-11-02 12:00:00,Cancelled
41,39,7,3,2139.24,2026-07-02 18:00:00,Cancelled
42,4,66,3,2611.29,2025-12-01 19:00:00,Completed
43,4,78,4,3092.4,2025-08-26 09:00:00,Completed
44,9,8,3,1813.77,2025-08-09 14:00:00,Pending
45,55,43,4,1876.68,2025-07-28 14:00:00,Pending
46,7,12,1,94.8,2026-04-09 04:00:00,Cancelled
47,85,19,5,2348.6,2026-02-23 08:00:00,Cancelled
48,31,4,2,1881.6,2025-12-28 01:00:00,Shipped
49,57,33,4,1487.68,2026-02-03 06:00:00,Shipped
50,20,31,5,2028.95,2026-06-09 13:00:00,Cancelled
51,49,87,2,49.76,2025-08-03 11:00:00,Completed
52,10,70,1,723.61,2026-05-24 08:00:00,Cancelled
53,25,49,3,894.63,2026-01-17 10:00:00,Pending
54,27,33,4,1487.68,2026-02-13 13:00:00,Completed
55,46,88,3,344.19,2026-04-23 00:00:00,Pending
56,85,9,4,2845.88,2025-08-18 02:00:00,Completed
57,30,34,3,601.71,2025-11-17 11:00:00,Cancelled
58,9,20,1,709.0,2026-06-08 21:00:00,Shipped
59,34,22,2,323.86,2026-02-17 15:00:00,Pending
60,9,79,1,653.5,2026-03-07 02:00:00,Completed
61,73,88,5,573.65,2025-08-04 11:00:00,Shipped
62,44,23,4,1335.56,2025-06-04 23:00:00,Pending
63,86,48,5,2606.15,2026-06-25 13:00:00,Shipped
64,81,66,5,4352.15,2025-06-08 16:00:00,Shipped
65,41,1,5,1962.75,2026-05-04 07:00:00,Shipped
66,54,82,4,2518.16,2026-04-09 02:00:00,Shipped
67,96,97,4,1815.16,2025-10-12 09:00:00,Cancelled
68,31,52,4,2558.88,2025-11-28 18:00:00,Pending
69,47,88,3,344.19,2026-06-05 12:00:00,Pending
70,44,6,2,1087.78,2025-09-18 16:00:00,Shipped
71,99,61,1,359.92,2026-05-21 23:00:00,Shipped
72,47,53,5,4314.5,2025-12-19 03:00:00,Pending
73,36,95,2,1778.26,2025-10-21 03:00:00,Shipped
74,5,77,4,367.36,2025-08-15 04:00:00,Shipped
75,62,40,4,2423.6,2026-01-23 02:00:00,Pending
76,50,82,4,2518.16,2026-06-19 02:00:00,Completed
77,47,38,4,1439.92,2025-12-02 00:00:00,Pending
78,70,100,1,900.27,2025-07-14 05:00:00,Pending
79,93,70,3,2170.83,2026-07-01 22:00:00,Shipped
80,43,58,3,2044.86,2025-10-13 04:00:00,Pending
81,93,28,2,1970.44,2026-01-21 11:00:00,Pending
82,86,87,2,49.76,2025-11-13 15:00:00,Shipped
83,70,56,2,1928.1,2025-06-04 10:00:00,Cancelled
84,8,25,4,2951.52,2025-10-31 10:00:00,Cancelled
85,90,22,2,323.86,2025-10-21 09:00:00,Pending
86,8,34,4,802.28,2026-03-07 22:00:00,Cancelled
87,43,1,3,1177.65,2025-07-24 02:00:00,Pending
88,50,7,1,713.08,2025-07-04 11:00:00,Pending
89,76,100,2,1800.54,2026-06-02 22:00:00,Pending
90,53,88,4,458.92,2025-08-09 04:00:00,Shipped
91,18,57,5,3313.75,2026-06-24 14:00:00,Completed
92,56,15,1,249.97,2026-01-23 03:00:00,Pending
93,3,90,5,524.2,2025-07-04 22:00:00,Completed
94,86,20,2,1418.0,2025-08-25 18:00:00,Pending
95,80,15,1,249.97,2025-10-25 23:00:00,Completed
96,62,81,5,4665.75,2026-03-23 10:00:00,Pending
97,8,94,3,2859.03,2025-09-30 07:00:00,Completed
98,89,24,5,900.35,2025-07-25 12:00:00,Cancelled
99,30,17,1,499.05,2026-04-27 12:00:00,Cancelled
100,41,100,3,2700.81,2026-03-22 08:00:00,Shipped
